"zkratka"	"název testu"
SKR	SKR_ZTI
SKR	SKR_PLN
SKR	SKR_UTCH
SKR	SKR_ESI
SKR	SKR_SKR
SKR	SKR_SHZ
SKR	SKR_ASR
SKR	SKR_OTK
SKR	SKR_FAC
SKR	SKR_VZT
ASR	ASR_VZT
ASR	ASR_ZTI
ASR	ASR_PLN
ASR	ASR_UTCH
ASR	ASR_ESI
ASR	ASR_SHZ
ASR	ASR_ASR
ASR	ASR_OTK
ASR	ASR_FAC
ZSJ	ASR_FAC
ZSJ	ASR_OTK
ZSJ	ASR_ESI
ZSJ	ASR_PLN
ZSJ	ASR_VZT
ZSJ	ASR_SHZ
ZSJ	ASR_UTCH
ZSJ	ASR_ZTI
FAC	FAC_OTK
FAC	FAC_FAC
FAC	FAC_VZT
FAC	FAC_ZTI
FAC	FAC_PLN
FAC	FAC_UTCH
FAC	FAC_ESI
FAC	FAC_SHZ
VZT	VZT_UTCH
VZT	VZT_ESI
VZT	VZT_SHZ
VZT	VZT_OTK
VZT	VZT_VZT
VZT	VZT_ZTI
VZT	VZT_PLN
ZTI	ZTI_ZTI
ZTI	ZTI_PLN
ZTI	ZTI_UTCH
ZTI	ZTI_ESI
ZTI	ZTI_SHZ
ZTI	ZTI_OTK
PLN	PLN_OTK
PLN	PLN_PLN
PLN	PLN_UTCH
PLN	PLN_ESI
PLN	PLN_SHZ
SHZ	SHZ_UTCH
SHZ	SHZ_ESI
SHZ	SHZ_SHZ
SHZ	SHZ_OTK
UTCH	UTCH_ESI
UTCH	UTCH_OTK
UTCH	UTCH_UTCH
ESI	ESI_ESI
ESI	ESI_OTK
OTK	OTK_OTK	
ZTI	SKR_ZTI
PLN	SKR_PLN
UTCH	SKR_UTCH
ESI	SKR_ESI
SHZ	SKR_SHZ
ASR	SKR_ASR
OTK	SKR_OTK
FAC	SKR_FAC
VZT	SKR_VZT
VZT	ASR_VZT
ZTI	ASR_ZTI
PLN	ASR_PLN
UTCH	ASR_UTCH
ESI	ASR_ESI
SHZ	ASR_SHZ
OTK	ASR_OTK
FAC	ASR_FAC
OTK	FAC_OTK
VZT	FAC_VZT
ZTI	FAC_ZTI
PLN	FAC_PLN
UTCH	FAC_UTCH
ESI	FAC_ESI
SHZ	FAC_SHZ
UTCH	VZT_UTCH
ESI	VZT_ESI
SHZ	VZT_SHZ
OTK	VZT_OTK
ZTI	VZT_ZTI
PLN	VZT_PLN
PLN	ZTI_PLN
UTCH	ZTI_UTCH
ESI	ZTI_ESI
SHZ	ZTI_SHZ
OTK	ZTI_OTK
OTK	PLN_OTK
UTCH	PLN_UTCH
ESI	PLN_ESI
SHZ	PLN_SHZ
UTCH	SHZ_UTCH
ESI	SHZ_ESI
OTK	SHZ_OTK
ESI	UTCH_ESI
OTK	UTCH_OTK
OTK	ESI_OTK
