"model"	"id"	"type_id"	"kategorie"	"rodina"	"typ"	"aed_klasifikace"
TERN_1201_DSP_D11_SO01_ASR	"5495639"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5496747"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5496755"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5496799"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5496801"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5496842"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5496843"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5496844"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5496845"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5496847"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5594345"	"5594176"	Vyústky vzduchotechniky	AED_Protidešťová žaluzie hranatá	Protidešťová žaluzie	
TERN_1201_DSP_D11_SO01_ASR	"5617991"	"5594176"	Vyústky vzduchotechniky	AED_Protidešťová žaluzie hranatá	Protidešťová žaluzie	
TERN_1201_DSP_D11_SO01_ASR	"5658176"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658177"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658178"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658179"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658181"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658199"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658200"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658201"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658202"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658204"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658214"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658215"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658216"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658217"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658219"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658261"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658262"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658263"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658281"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658283"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658306"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658309"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658451"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658509"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658537"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658538"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658539"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5658540"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5660646"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5660647"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5660648"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5660649"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5660651"	"5495597"	Mechanické zařízení	Výtah_symetrické dveře	Výtah_symetrické dveře	
TERN_1201_DSP_D11_SO01_ASR	"5963710"	"5963039"	Příslušenství trubek	HL_Těleso vpusti_HL310NK	HL310NK_Main Component	
TERN_1201_DSP_D11_SO01_ASR	"5963711"	"5963253"	Příslušenství trubek	HL_Zápachový uzávěr vložka_HL2000	HL2000_Main Component	
TERN_1201_DSP_D11_SO01_ASR	"5963712"	"5963230"	Příslušenství trubek	HL_Vtoková mřížka_HL037G.1E	HL037G.1E_Main Component	
TERN_1201_DSP_D11_SO01_ASR	"5963713"	"5963021"	Příslušenství trubek	HL_Prodloužení nástavce_HL037G.2E	HL037G.2E_Main Component	
TERN_1201_DSP_D11_SO01_ASR	"5978859"	"5973827"	Trubky	Typy trubek	PE	
TERN_1201_DSP_D11_SO01_ASR	"5979141"	"5973827"	Trubky	Typy trubek	PE	
TERN_1201_DSP_D11_SO01_ASR	"5979149"	"5973827"	Trubky	Typy trubek	PE	
TERN_1201_DSP_D11_SO01_ASR	"5979274"	"5973827"	Trubky	Typy trubek	PE	
TERN_1201_DSP_D11_SO01_ASR	"5978893"	"5973821"	Tvarovky	Trubky_koleno	koleno	
TERN_1201_DSP_D11_SO01_ASR	"5979155"	"5973821"	Tvarovky	Trubky_koleno	koleno	
TERN_1201_DSP_D11_SO01_ASR	"5979287"	"5973821"	Tvarovky	Trubky_koleno	koleno	
TERN_1201_DSP_D11_SO01_ASR	"5982025"	"5982005"	Mechanické zařízení	AED_Dvorní vpusť	Boční konektor	
TERN_1201_DSP_D143_SO01_VZT	"1459414"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1459702"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1459722"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1459756"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1459782"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1459811"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1460035"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1460065"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1460104"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1460116"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1460128"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1460218"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1460277"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1460334"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1460393"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1461590"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1461591"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1461593"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1461595"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1461597"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1461599"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1461602"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1461603"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1461604"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1461605"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1461606"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1461610"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1461612"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1461614"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1461616"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1461769"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1459753"	"1342262"	Tvarovky potrubí	Hranaté_Přechod.CC	Pozink	
TERN_1201_DSP_D143_SO01_VZT	"1459779"	"1342262"	Tvarovky potrubí	Hranaté_Přechod.CC	Pozink	
TERN_1201_DSP_D143_SO01_VZT	"1459809"	"1342262"	Tvarovky potrubí	Hranaté_Přechod.CC	Pozink	
TERN_1201_DSP_D143_SO01_VZT	"1459832"	"1342262"	Tvarovky potrubí	Hranaté_Přechod.CC	Pozink	
TERN_1201_DSP_D143_SO01_VZT	"1461592"	"1342262"	Tvarovky potrubí	Hranaté_Přechod.CC	Pozink	
TERN_1201_DSP_D143_SO01_VZT	"1461594"	"1342262"	Tvarovky potrubí	Hranaté_Přechod.CC	Pozink	
TERN_1201_DSP_D143_SO01_VZT	"1461596"	"1342262"	Tvarovky potrubí	Hranaté_Přechod.CC	Pozink	
TERN_1201_DSP_D143_SO01_VZT	"1461598"	"1342262"	Tvarovky potrubí	Hranaté_Přechod.CC	Pozink	
