"model"	"type_id"	"id"	"kategorie"	"rodina"	"typ"	"t_aed_klasifikace"	"t_aed_system"	"t_oznaceni_typu"	"t_popis"
TERN_1201_DSP_D11_SO01_FAC	"3084172"	"3172004"	Panely obvodového pláště	BA_blinds box	BA_blinds box	TZKO	OV	"05"	Fasádní zateplovací systém 200 mm + kovový panel na roštu + žaluzie
TERN_1201_DSP_D11_SO01_FAC	"3880859"	"3879871"	Panely obvodového pláště	BA_blinds box_TERRACE FAKE	BA_blinds box_TERRACE FAKE	TZKO	VOO	"02"	Fasádní zateplovací systém 200 mm + kovový panel na roštu
TERN_1201_DSP_D11_SO01_FAC	"3390108"	"3172361"	Panely obvodového pláště	BA_blinds box_TOP FLOOR	BA_blinds box_TOP FLOOR	TZKO	VOO		Fasádní zateplovací systém 200 mm + kovový panel na roštu + žaluzie
TERN_1201_DSP_D11_SO01_FAC	"3827784"	"3280481"	Panely obvodového pláště	BA_blinds box_TOP FLOOR_B	BA_blinds box_TOP FLOOR_B	TZKO	VOO		Fasádní zateplovací systém 200 mm + kovový panel na roštu + žaluzie
TERN_1201_DSP_D11_SO01_FAC	"2281845"	"3967424"	Dveře	BA_Door_IntDbl	Corridor_glazed_2000x2100	VOE	D	"46"	Dveře jednokřídlé
TERN_1201_DSP_D11_SO01_FAC	"1936859"	"3972029"	Dveře	BA_Door_IntSgl	Escape_1000x2100	VOE	D	"31"	Dveře jednokřídlé
TERN_1201_DSP_D11_SO01_FAC	"1936861"	"3970209"	Dveře	BA_Door_IntSgl	Escape_1100x2100	VOE	D	"32"	Dveře jednokřídlé + povrchová úprava perforovaný kovový panel
TERN_1201_DSP_D11_SO01_FAC	"4224195"	"3971954"	Dveře	BA_Door_IntSgl	Escape_1100x2100_ZASTENA	STE	D	"62"	Dveře jednokřídlé + povrchová úprava perforovaný kovový panel
TERN_1201_DSP_D11_SO01_FAC	"3645488"	"3645545"	Dveře	BA_doors_garage	BA_doors_garage	VOE	VOO	"61"	Garážové vrata - kovový povrch
TERN_1201_DSP_D11_SO01_FAC	"3031285"	"3171947"	Panely obvodového pláště	BA_GRC panel	BA_GRC panel	STE	SKLADBA		Fasádní zateplovací systém 200 mm + vz. m. 162mm + sklováknobetonový obklad 13 mm
TERN_1201_DSP_D11_SO01_FAC	"3130106"	"3128682"	Panely obvodového pláště	BA_GRC panel - framing	BA_GRC panel - framing	STE	SKLADBA		Fasádní zateplovací systém 200 mm + vz. m. 162mm + sklováknobetonový obklad 13 mm
TERN_1201_DSP_D11_SO01_FAC	"3382292"	"3382342"	Panely obvodového pláště	BA_GRC panel - framing_ATTIC	BA_GRC panel - framing_ATTIC	STE	SKLADBA		Fasádní zateplovací systém 200 mm + vz. m. 162mm + sklováknobetonový obklad 13 mm
TERN_1201_DSP_D11_SO01_FAC	"3804633"	"3425744"	Panely obvodového pláště	BA_GRC panel - framing_ATTIC B	BA_GRC panel - framing_ATTIC B	STE	SKLADBA		Fasádní zateplovací systém 200 mm + vz. m. 162mm + sklováknobetonový obklad 13 mm
TERN_1201_DSP_D11_SO01_FAC	"3892747"	"3383182"	Panely obvodového pláště	BA_GRC panel - framing_ATTIC C	BA_GRC panel - framing_ATTIC C	STE	SLADBA		Vz. m. 362mm + sklováknobetonový obklad 13 mm
TERN_1201_DSP_D11_SO01_FAC	"3468070"	"3473335"	Panely obvodového pláště	BA_GRC paneL_600	BA_GRC paneL_600	STE	SKLADBA		Fasádní zateplovací systém 200 mm + vz. m. 162mm + sklováknobetonový obklad 13 mm
TERN_1201_DSP_D11_SO01_FAC	"4100695"	"4099653"	Panely obvodového pláště	BA_GRC paneL_corner terrace	BA_GRC paneL_corner terrace	STE	SKLADBA		Fasádní zateplovací systém 200 mm + vz. m. 162mm + sklováknobetonový obklad 13 mm
TERN_1201_DSP_D11_SO01_FAC	"3100306"	"3105858"	Panely obvodového pláště	BA_GRC rhymes_2700	BA_GRC rhymes_2700	STE	SKLADBA		Fasádní zateplovací systém 200 mm + vz. m. 162mm + sklováknobeton 13 mm
TERN_1201_DSP_D11_SO01_FAC	"3328649"	"3327288"	Panely obvodového pláště	BA_GRC rhymes_2700_PLASTER	BA_GRC rhymes_2700_PLASTER	STE	SKLADBA		Fasádní zateplovací systém 265 mm + ext. omítka 25 mm
TERN_1201_DSP_D11_SO01_FAC	"3123431"	"3124520"	Panely obvodového pláště	BA_GRC rhymes_3000	BA_GRC rhymes_3000	STE	SKLADBA		Fasádní zateplovací systém 200 mm + vz. m. 162mm + sklováknobeton 13 mm
TERN_1201_DSP_D11_SO01_FAC	"3170802"	"3261115"	Panely obvodového pláště	BA_GRC_corner typical	BA_GRC_corner typical	STE	SKLADBA		Fasádní zateplovací systém 200 mm + vz. m. 162mm + sklováknobetonový obklad 13 mm
TERN_1201_DSP_D11_SO01_FAC	"3808242"	"3425767"	Panely obvodového pláště	BA_GRC_corner typical_ATTIC	BA_GRC_corner typical_ATTIC	STE	SKLADBA		Fasádní zateplovací systém 200 mm + vz. m. 162mm + sklováknobetonový obklad 13 mm
TERN_1201_DSP_D11_SO01_FAC	"3352796"	"3352946"	Panely obvodového pláště	BA_GRC_corner typical_FRONT	BA_GRC_corner typical_FRONT	STE	SKLADBA		Fasádní zateplovací systém 200 mm + vz. m. 162mm + sklováknobetonový obklad 13 mm
TERN_1201_DSP_D11_SO01_FAC	"4224103"	"3431981"	Panely obvodového pláště	BA_GRC_corner typical_FRONT_B	BA_GRC_corner typical_FRONT_B				Fasádní zateplovací systém 200 mm + vz. m. 162mm + sklováknobetonový obklad 13 mm
TERN_1201_DSP_D11_SO01_FAC	"3270171"	"3315464"	Panely obvodového pláště	BA_GRC_corner typical_PARTER	BA_GRC_corner typical_PARTER	STE	SKLADBA		Fasádní zateplovací systém 200 mm + vz. m. 162mm + sklováknobetonový obklad 13 mm
TERN_1201_DSP_D11_SO01_FAC	"3500669"	"3493090"	Panely obvodového pláště	BA_LOP_panel_1100	BA_LOP_panel_1100	LOP	SOUC	"02"	Tep. i. 200 mm + hliníkový panel
TERN_1201_DSP_D11_SO01_FAC	"3477901"	"3454916"	Panely obvodového pláště	BA_LOP_shadowgap	BA_LOP_shadowgap	LOP	SOUC		Nika - tep. i. + hliníkový povrch
TERN_1201_DSP_D11_SO01_FAC	"3506236"	"3494014"	Panely obvodového pláště	BA_LOP_shadowgap_150	BA_LOP_shadowgap_150	LOP	SOUC		Nika - tep. i. + hliníkový porvch
TERN_1201_DSP_D11_SO01_FAC	"4115387"	"4137037"	Obecné modely	BA_okoli_EA	BA_okoli_EA				
TERN_1201_DSP_D11_SO01_FAC	"4098701"	"4098703"	Obecné modely	BA_okoli_NO	BA_okoli_NO				
TERN_1201_DSP_D11_SO01_FAC	"3811772"	"3814566"	Obecné modely	BA_parapet jih	BA_parapet jih	OBKL2	SKLADBA		
TERN_1201_DSP_D11_SO01_FAC	"3190816"	"3191500"	Panely obvodového pláště	BA_plaster panel	BA_plaster panel	STE	SKLADBA		Fasádní zateplovací systém 265 mm + ext. omítka 25 mm
TERN_1201_DSP_D11_SO01_FAC	"4183672"	"3199538"	Panely obvodového pláště	BA_plaster parapet	BA_plaster parapet				
TERN_1201_DSP_D11_SO01_FAC	"4096826"	"4097765"	Obecné modely	BA_tree_elevation	BA_tree_elevation				
